vProteins,hProteins
Q2KRY7,Q01534
P03255,Q92830
P03255,Q99966
P03246,O75688
Q2KRY6,O00425
Q2KRY6,Q9NZI8
Q2KRY6,Q93062
P03246,Q9Y6N5
P03246,Q14699
P03246,P46977
Q2KRY7,P41182
P03246,Q96JJ7
P03246,P42166
Q2KRY6,Q96I24
P03255,P06400
Q2KRY7,P55795
P04489,P29590
P03246,Q969X5
P03246,O00264
Q2KRY7,Q8NI38
P03246,Q70UQ0
P03246,P25445
Q2KRY6,Q71RC2
Q2KRY7,Q147U7
P03246,P39656
Q2KRY7,Q14CM0
P03255,Q92831
P03246,O75695
P03255,P62195
P03246,P05556
P03246,P17302
Q2KRY7,Q08117
P03246,Q9H5V8
P03255,Q969R5
P03255,Q8N5T2
Q2KRY6,P51659
Q2KRY7,Q8NA61
P03246,O15173
P03255,Q09472
P03246,Q15599
Q2KRY7,Q96KQ4
P03243,Q9UER7
P03246,P16615
P03255,Q01860
Q2KRY7,Q3B820
P03246,Q9NZM1
Q2KRY7,Q04864
Q2KRY7,Q8TD31
P03246,P51148
P03246,Q14165
Q2KRY6,P40227
Q2KRY6,P28300
P03246,Q6IAA8
P03246,P62834
P03243,Q9BUJ2
P04494,Q9Y5S1
P03246,Q8N4L2
P03281,Q9Y6C2
P03246,P06703
Q2KRY6,Q15717
P03255,Q15326
Q540N5,O15151
P03246,P17813
P03246,Q16891
P03246,Q8TED1
Q2KRY7,P05106
P03246,Q8IZ07
P03246,P05023
P03255,P06400
P03246,Q9BQB6
P03246,P11717
P03246,Q9BRK3
P03246,Q96N66
Q2KRY6,Q99700
P03246,P80404
P03246,P62873
P03246,P59768
Q2KRY6,Q9Y6M1
P03246,Q9NV96
Q2KRY6,Q92900
P03255,Q15326
Q2KRY7,Q8N9N5
P03246,P60468
P03246,Q9BWT7
Q2KRY6,P49368
P03255,Q9NPA8
P03246,A0FGR8
P03246,P50479
P03255,Q92793
P03246,P08240
P03246,O60831
P03246,P26006
P03255,P82932
P03246,Q16527
P03243,P52292
P03243,Q9Y2I6
P03243,Q6UVJ0
Q2KRY7,Q8NEV8
P03255,Q96L91
P03246,Q99523
P03255,P56545
Q2KRY6,Q9BPX1
Q2KRY6,Q92530
P04494,P56545
P03246,Q13323
Q2KRY9,P55795
Q2KRY9,P41182
Q2KRY9,Q08117
Q2KRY9,Q96T49
Q2KRY9,Q04864
Q2KRY9,O00560
Q2KRY9,Q01534
Q2KRY9,Q9UJX2
Q2KRY9,Q14CM0
Q2KRY9,P05106
Q2KRY9,Q9UMS0
Q2KRY9,O43927
Q2KRY9,Q8NEV8
Q2KRY9,Q96KQ4
Q2KRY9,Q8WWY3
Q2KRY9,Q9NVL8
Q2KRY9,Q3B820
Q2KRY9,Q8N9N5
Q2KRY9,Q9Y2J4
Q2KRY9,Q8TD31
P03281,Q9Y6C2
Q2KRY9,Q0VD86
Q2KRY9,Q147U7
Q2KRY9,Q8NA61
Q2KRY9,Q8NI38
Q2KRY9,Q8IUC0
P03255,Q53XQ4
P03256,P06400
